CB,CR,CD,CE,DM,DR,DD,DP,DDm,DE,EE,stablity
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.5625,1
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.264,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.3611,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.3199,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.4469,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.3289,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.36199,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.369,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,1.106,1
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.2977,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.393,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.3071,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.665,1
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.644,1
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.102,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.56,1
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0.363,0
110.6,0.87,2.38,0.264,99.13,3.4,32.3,10.6,4.09,0.3611,0,0
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.5625,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.264,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.3611,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.3199,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.4469,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.3289,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.36199,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.369,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,1.106,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.2977,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.393,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.3071,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.665,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.644,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.102,0
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.56,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0.363,1
110.6,0.87,2.38,0.264,62.07,2.1,37.7,37,2.2,0.56,0,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.5625,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.264,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.3611,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.3199,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.4469,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.3289,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.36199,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.369,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,1.106,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.2977,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.393,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.3071,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.665,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.644,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.102,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.56,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0.363,0
110.6,0.87,2.38,0.264,73.14,2.5,5.4,9.56,1.299,0.3289,0,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.5625,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.264,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.3611,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.3199,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.4469,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.3289,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.36199,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.369,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,1.106,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.2977,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.393,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.3071,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.665,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.644,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.102,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.56,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0.363,0
110.6,0.87,2.38,0.264,108.14,3.7,1.66,12.96,1.7,0.3949,0,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.5625,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.264,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.3611,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.3199,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.4469,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.3289,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.36199,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.369,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,1.106,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.2977,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.393,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.3071,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.665,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.644,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.102,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.56,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0.363,0
110.6,0.87,2.38,0.264,114.229,3.94,2,15.5,0.07,0.393,0,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.5625,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.264,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.3611,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.3199,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.4469,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.3289,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.36199,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.369,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,1.106,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.2977,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.393,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.3071,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.665,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.644,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.102,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.56,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0.363,0
110.6,0.87,2.38,0.264,86.18,3,1.87,11.81,0.07,0.2977,0,0
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.5625,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.264,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.3611,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.3199,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.4469,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.3289,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.36199,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.369,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,1.106,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.2977,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.393,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.3071,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.665,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.644,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.102,0
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.56,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0.363,1
110.6,0.87,2.38,0.264,32.042,1.1,32.7,3.25,1.7,0.5625,0,0
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.5625,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.264,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3611,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3199,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.4469,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3289,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.36199,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.369,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,1.106,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.2977,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.393,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3071,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.665,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.644,1
